Company Name,HQ Location,Industry,Headcount,Revenue,Offers Construction Admin,CA Management Tools,Construction Litigation,Project Focus Types,Open Job Titles and Dates,,
O'Neil Langan Architects,Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"No CA/QA/QC/documentation tech roles; only “Drafter/Architect – Retail” (posted Jan 9, 2026).",
Wells + Associates,Find contacts,"Tysons, Virginia, United States",Architecture & Planning,11-50,$100M-$250M,No,Research with AI,None found,Research with AI,"Yes – roles include Research and Data Analyst, Project Associate (Associate I/II), Senior/Mid/Entry-Level Traffic Engineer/Transportation Planner; all",
"Nichols, Melburg & Rossetto (NMR)",Find contacts,"Redding, California, United States",Architecture & Planning,51-200,$25M-$50M,Yes - interior design page notes involvement in “every phase of the…construction administration process.”,Research with AI,None found,Research with AI,No current construction admin/CA/QA/QC/documentation/tech jobs found.,
David Baker Architects,Find contacts,"San Francisco, California, United States",Architecture & Planning,51-200,$25M-$50M,Yes - Services page lists “construction administration services” under Project Management and Construction Oversight.,Research with AI,None found,Research with AI,No relevant CA/QA/QC/tech construction admin jobs currently listed.,
BEE Engineers,Find contacts,"Edmonds, Washington, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Services page lists “Construction Administration” with field inspections & QA during construction.,Research with AI,None found,Research with AI,"Yes – roles include Building Envelope Consultant, Building Envelope Inspector, Design Drafter (dates not listed).",
O&S Engineers & Architects,Find contacts,"Hackensack, New Jersey, United States",Architecture & Planning,51-200,$25M-$50M,Yes - architecture services page states they provide on-site construction administration.,Research with AI,None found,Research with AI,No active CA/QA/QC construction admin jobs found; only engineering/design roles.,
GKC Architecture & Design,Find contacts,"Montréal, Quebec, Canada",Architecture & Planning,51-200,$10M-$25M,Yes - they support clients through the construction phase and project administration.,Research with AI,None found,Research with AI,"Yes – careers page lists “Senior Architect” and “Senior Architectural Technologist,” both active as of Jan 27–28, 2026.",
KFA Architecture,Find contacts,"Culver City, California, United States",Architecture & Planning,51-200,$25M-$50M,Yes - job listing for a CA Supervisor to manage construction administration of projects,Research with AI,None found,Research with AI,"Yes. Roles: CA Supervisor (posted Oct 17, 2025) and Project Architect/Designer & Project Manager (both posted Oct 20, 2025); all require construction‑",
JERDE,Find contacts,"Los Angeles, California, United States",Architecture & Planning,51-200,$250M-$500M,Unclear,Research with AI,None found,Research with AI,No relevant CA/QA/QC/tech construction admin jobs found for JERDE.,
eStudio Architecture,Find contacts,"Houston, Texas, United States",Architecture & Planning,11-50,$50M-$100M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation tech roles; no construction admin jobs posted.,
Main Street America,Find contacts,"Chicago, Illinois, United States",Architecture & Planning,11-50,$25M-$50M,No,Research with AI,None found,Research with AI,"Yes. Director of Grantmaking – job opportunity posted Jan 28, 2026.",
AVELAR,Find contacts,"Walnut Creek, California, United States",Architecture & Planning,51-200,$10M-$25M,Yes - Offers “Construction Contract Administration” services during construction phase.,Research with AI,Yes – at least one recent contract-related case and one enforcement action found.,Research with AI,Yes. Roles: Senior Staff Project Architect; Building Defect Construction Technician; Structural Designer; Forensic Building Consultant – Environmental,
"Berardi + Partners, LLC.",Find contacts,"Columbus, Ohio, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Their Services page lists “Construction Administration” as a service offered.,Research with AI,None found,Research with AI,Unknown,
Oppenheim Architecture,Find contacts,"Miami, Florida, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No active CA/QA/QC/technology roles; no construction admin jobs found.,
SPS+ Architects,Find contacts,"Scottsdale, Arizona, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,"Yes – Construction Administrator (Tucson office), posted ~Jan 24, 2026.",
JRMA Architects | Engineers,Find contacts,"Brea, California, United States",Architecture & Planning,11-50,$25M-$50M,Yes - MapQuest lists “construction management and contract administration” among JRMA’s services.,Research with AI,None found,Research with AI,No relevant construction admin job postings found for JRMA currently.,
GBD Architects,Find contacts,"Portland, Oregon, United States",Architecture & Planning,51-200,$25M-$50M,"Yes - project pages note GBD overseeing/performing construction administration (e.g., Jardine, NW Natural HQ).",Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin roles found.,
SEI Design Group,Find contacts,"Rochester, New York, United States",Architecture & Planning,51-200,$25M-$50M,Yes - Team bios note staff responsibilities include construction administration and project closeout.,Research with AI,None found,Research with AI,"No specific CA/QA/QC/documentation tech roles; only generic “Architects, Project Managers, Designers” (no dates).",
ARCHITEKTON,Find contacts,"Tempe, Arizona, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Their listed services explicitly include “construction administration.”,Research with AI,None found,Research with AI,No CA/QA/QC/documentation/tech roles; careers page lists only design roles.,
K Paul Architect Inc.,Find contacts,"Oakville, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,Yes - Their architecture services list “Contract Administration” as a core offering.,Research with AI,None found,Research with AI,"Yes – roles like Architectural Project Coordinator (Remote, posted ~1 day ago).",
"Massa Multimedia Architecture, PC.",Find contacts,"Neptune, New Jersey, United States",Architecture & Planning,51-200,$25M-$50M,Yes - Their overview states services from design through bidding and construction administration.,Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin job postings found.,
"NSPJ Architects, P. A.",Find contacts,"Prairie Village, Kansas, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,"Yes – e.g., BIM Specialist (posted by Jan 25, 2026) on NSPJ careers page.",
Paradigm Design,Find contacts,"Grand Rapids, Michigan, United States",Architecture & Planning,51-200,$25M-$50M,Yes - Services page lists “Construction Administration” as a service under Architecture.,Research with AI,None found,Research with AI,"Yes – e.g., Civil Engineering Project Manager (construction admin duties), posted ~Oct–Nov 2025.",
Coast 2 Coast,Find contacts,"Chattanooga, Tennessee, United States",Architecture & Planning,51-200,$25M-$50M,No,Research with AI,None found,Research with AI,"Yes – roles include Revit/MEP Drafting Technician, 3D Drafting Technician, AutoCAD Capture Field Technician (various U.S. locations), and Outside/As‑B",
GREC Architects,Find contacts,"Chicago, Illinois, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"Yes – “Project Architect – Construction Administration (Hotel Project)”, posted Sept 30, 2025",
EDG Architecture | Engineering,Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$10M-$25M,Yes - Their engineering capabilities list “Construction Administration” as a service.,Research with AI,None found,Research with AI,Yes. Architectural Designer (construction admin support) – posted on EDG careers page (no date listed).,
Q4 Architects Inc.,Find contacts,"Toronto, Ontario, Canada",Architecture & Planning,51-200,$1M-$10M,Yes - Their services list includes “Construction Admin & Site Reviews.”,Research with AI,None found,Research with AI,No current CA/QA/QC/tech/Doc Control roles; only Project Accountant (posted ~Dec 2025) and Senior HR & People & Culture Coordinator (posted ~Jun 2025),
SRM Architects Inc.,Find contacts,"Kitchener, Ontario, Canada",Architecture & Planning,51-200,$1M-$10M,"Yes - Their services list includes “design, documentation and construction administration of buildings.”",Research with AI,None found,Research with AI,No current CA/QA/QC/tech openings; careers page lists no job openings.,
WBRC Inc.,Find contacts,"Bangor, Maine, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation/technology openings; only architect roles listed.,
Gray Design Group,Find contacts,"St. Louis, Missouri, United States",Architecture & Planning,11-50,$25M-$50M,Yes - Their Architecture and Interiors services lists “Construction Administration.”,Research with AI,None found,Research with AI,"Yes – Office Specialist (St. Louis, MO), posted Jan 2026 (admin/support role).",
Marnell Companies,Find contacts,"Las Vegas, Nevada, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,"Yes – Project Architect (Architecture) and Senior Project Manager – Construction (both 2025); also Administrative Assistant (Architecture, 2025).",
"Eric L. Davis Engineering, Inc.",Find contacts,"Forney, Texas, United States",Architecture & Planning,51-200,$50M-$100M,Unclear,Research with AI,Yes – at least two cases found (copyright 2021; residential foundation dispute 2022–2023).,Research with AI,No current construction admin/CA-related roles found.,
Architectural Lighting Alliance (ALA),Find contacts,"Dallas, Texas, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,"No relevant CA/QA/QC/tech construction admin jobs found as of Jan 28, 2026",
